"Title"|"SKU"|"Image"|"Price"|"Cost"|"Category"
"Ginger Patch Neck Joint Paste Keep Fever Stave Off Chill Pain Relief Body Warm"|"LAP-7337877943-SKU"|"https://i.ebayimg.com/thumbs/images/m/mZVh-1b27VVS7i5dAA9HUiA/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"HUATUO Chinese Herbal Hemorrhoids Treatments Cream Antibacterial Pain Relief"|"LAP-3619154878-SKU"|"https://i.ebayimg.com/thumbs/images/m/mlSZDuNKIzGKmcdkT0O1Uqg/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"1Pc Ginger Detox Pad Patch Pain Relief Neck Knee Pads Keep Fever Stave Off Chill"|"LAP-6428289525-SKU"|"https://i.ebayimg.com/thumbs/images/g/GdMAAOSwSI5bcO6i/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8Pcs/pack Chinese Pain Relieving Plaster Relief Rheumatism Joint Pain Patch LE"|"LAP-6867941198-SKU"|"https://i.ebayimg.com/thumbs/images/g/uPAAAOSwxAxa4ZsZ/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8 Pcs/Pack Pain Patches Spirit Bone Paste Self Heating Black  Plaster FU"|"LAP-6893162949-SKU"|"https://i.ebayimg.com/thumbs/images/g/8w8AAOSw2QJa4Zyc/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"Lots Fruit Cooling Gel Patch Cold Ice Plaster Relief Pain Fever Adult Kid Health"|"LAP-3066328193-SKU"|"https://i.ebayimg.com/thumbs/images/m/mXCvFSjUHVm0UW2838JAcpg/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"Effective Pain Relief Ginger Cold Fever Paste Back Neck Muscle Pain Foot Paste"|"LAP-6897090309-SKU"|"https://i.ebayimg.com/thumbs/images/m/mZVh-1b27VVS7i5dAA9HUiA/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8Pcs/Pack Pain Relief Patch Frozen Shoulder Gypsum plasters Tens Joint PlasterTS"|"LAP-1787503291-SKU"|"https://i.ebayimg.com/thumbs/images/g/Ub8AAOSwS-Va4Z5w/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8pcs/bag Arthritis Pain Relief Plaster Upper Back Muscle Pain PatchSN"|"LAP-2175295503-SKU"|"https://i.ebayimg.com/thumbs/images/g/csMAAOSwLpda4XUl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"Sumifun 8Pcs Pain Relief Plaster Foot Muscle Back Neck Pain Treatment Patch W6U2"|"LAP-9307025150-SKU"|"https://i.ebayimg.com/thumbs/images/g/QOUAAOSwFzxbobj5/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

